partition,in,out,red,T
Particion 1-1, 65.5556, 73.8889, 0.0000, 0.0341
Particion 1-2, 73.8889, 76.6667, 0.0000, 0.0331
Particion 2-1, 74.4444, 65.5556, 0.0000, 0.0334
Particion 2-2, 68.3333, 75.0000, 0.0000, 0.0331
Particion 3-1, 61.6667, 76.6667, 0.0000, 0.0335
Particion 3-2, 72.2222, 80.0000, 0.0000, 0.0333
Particion 4-1, 74.4444, 75.0000, 0.0000, 0.0335
Particion 4-2, 70.0000, 71.1111, 0.0000, 0.0331
Particion 5-1, 68.8889, 71.1111, 0.0000, 0.0332
Particion 5-2, 70.0000, 76.6667, 0.0000, 0.0333
Media, 69.9444, 74.1667, 0.0000, 0.0334
Max, 74.4444, 80.0000, 0.0000, 0.0341
Min, 61.6667, 71.1111, 0.0000, 0.0331
Desv. Típica,3.9083, 3.8349, 0.0000, 0.0003
