partition,in,out,red,T
Particion 1-1, 95.4225, 96.1404, 0.0000, 0.3865
Particion 1-2, 97.8947, 94.7183, 0.0000, 0.3851
Particion 2-1, 95.7746, 96.1404, 0.0000, 0.3794
Particion 2-2, 96.8421, 96.1268, 0.0000, 0.3861
Particion 3-1, 95.7746, 95.7895, 0.0000, 0.3842
Particion 3-2, 96.1404, 97.8873, 0.0000, 0.4135
Particion 4-1, 95.4225, 96.8421, 0.0000, 0.4018
Particion 4-2, 94.7368, 96.1268, 0.0000, 0.4091
Particion 5-1, 97.1831, 95.7895, 0.0000, 0.4236
Particion 5-2, 95.0877, 97.1831, 0.0000, 0.4317
Media, 96.0279, 96.2744, 0.0000, 0.4001
Max, 97.8947, 97.8873, 0.0000, 0.4317
Min, 97.8947, 97.8873, 0.0000, 0.4317
Desv. Típica,0.9438, 0.8198, 0.0000, 0.0176
