partition,in,out,red,T
Partición 1-1, 71.0000, 75.5556, 90.0000, 1.9763
Partición 1-2, 75.0000, 62.7778, 93.3333, 1.3277
Partición 2-1, 81.0000, 66.6667, 88.8889, 2.2523
Partición 2-2, 75.0000, 74.4444, 92.2222, 1.5851
Partición 3-1, 72.0000, 81.6667, 92.2222, 1.5394
Partición 3-2, 75.0000, 71.6667, 92.2222, 1.4340
Partición 4-1, 73.0000, 57.7778, 93.3333, 1.2212
Partición 4-2, 77.0000, 68.8889, 90.0000, 1.9021
Partición 5-1, 76.0000, 67.2222, 92.2222, 1.4372
Partición 5-2, 81.0000, 70.5556, 90.0000, 1.8991
Media, 75.6000, 69.7222, 91.4444, 1.6574
Max, 81.0000, 81.6667, 93.3333, 2.2523
Min, 71.0000, 57.7778, 88.8889, 1.2212
Desv. Típica,3.2000, 6.4082, 1.4948, 0.3147
